"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Ourimbah","TAFE OurimbahBrush Road","9am to 4:30pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Rutherford","Beaumont Tiles Rutherford64 Shipley Drive","7:30am to 5pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Rutherford","Hunter Valley Motor Sports1/137 New England Highway","9:45am to 10:10am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Somersby","Utick6 Vere Place","6am to 12pm (noon) on Friday 8 October 20216:30am to 3pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Sutton Forest","ShellSally Corner Road, 13125 Hume Highway","5pm to 5:30pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Tamworth","Tamworth Discount Drug StoreShop 11 Tamworth Shopping Village, Robert Street","10:40am to 11:05am on Friday 8 October 20213pm to 3:45pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Warrawong","BIG W WarrawongWarrawong Plaza, Corner of King Street and Cowper Street","12:45pm to 1:15pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"17/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Warrawong","Target WarrawongWarrawong Plaza, Corner of King Street and Cowper Street","11:30am to 12:40pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albion Park","Peak Sports and Learning Albion Park175 Ashburton Drive","7:30am to 9am on Thursday 14 October 20213pm to 4pm on Wednesday 13 October 20217:30am to 9am on Wednesday 13 October 20213pm to 4pm on Tuesday 12 October 20217:30am to 9am on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Beer DeLuxe Albury491 Kiewa Street","1:45pm to 2:15pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Brady's Railway Hotel450 Smollett Street","4:40pm to 5:10pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Dan Murphy's Albury428-432 Dean Street","12:40pm to 1pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Indian Chimney Restaurant662 Dean Street","6pm to 8:30pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Jamaica Blue Albury25/525 David Street","1pm to 1:30pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Barooga","Australia Post - Barooga LPO12-14 Vermont Street","1:15pm to 2pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Barooga","Barooga Hotel2-6 Vermont Street","12:55pm to 3:15pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Barooga","Pirates Treasure30 Vermont Street","1:30pm to 2:15pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Barooga","Sporties Barooga10 Burkinshaw Street","5:30pm to 10:35pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bathurst","Shell Coles Express Bathurst59 Durham Street","11am to 11:10am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bermagui","Bermagui chinese59 Lamont Street","6:45pm to 7:20pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bermagui","Bermagui Fishermens Co-Op Ltd.73 Lamont Street","12am (midnight) to 11:59pm on Saturday 9 October 202112am (midnight) to 11:59pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Blayney","Bernardi's IGAUnit 8/12 Farm Lane","10:30am to 10:35am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Blayney","Nellies Cafe12 Farm Lane","10:30am to 10:45am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Charlestown","LiquorlandRidley Street and Smith Street","1pm to 7pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Corrimal","His & Hers cafe313 Princes Highway","7:10am to 7:30am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Albury","Albury Electroplaters214 Borella Road","3:15pm to 4pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Maitland","Douglas Hanly Moir Pathology East Maitland134 Lawes Street","9:30am to 9:50am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Eden","IGA Eden191 Imlay Street","12:05pm to 12:25pm on Wednesday 6 October 2021All day on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairy Meadow","Leisure Coast Fruit Market & Deli75 Princes Highway","1:50pm to 2pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Glendale","Kmart Glendale10 Stockland Drive","2:15pm to 2:53pm on Monday 11 October 20218:10pm to 9:27pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Sullivan Nicolaides PathologyBi-Lo Complex, Shop 9, 84-94 Bent Street","2:30pm to 3:15pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Hawks Nest","Hawkes Nest Golf Club1 Sanderling Avenue","5:15pm to 7:45pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Kempsey Families Inc.21 Verge Street","2:05pm to 4:30pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Kempsey Family Incorporated - 2/37 Elbow Street Kempsey2/37 Elbow Street","9:30am to 2pm on Tuesday 12 October 20219:30am to 3pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Macleay LivFit - 2/148 Belgrave St Kempsey2/148 Belgrave Street","4:10pm to 5:10pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Netherby House5 Little Rudder Street","12pm (noon) to 1pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Pathfinders51 Smith Street","5pm to 9pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","ALDI Lavington385/387 Wagga Road","3:45pm to 5:15pm on Thursday 14 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","BIG W LavingtonGriffith Road","8:40am to 9:45am on Monday 11 October 20213:35pm to 4pm on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","Coles LavingtonGriffith Road and Urana Road","1pm to 1:15pm on Monday 11 October 20218:15pm to 9:15pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","Direct Freight Express103 Catherine Cresent","4:50pm to 5:45pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","Northside Hotel Motel305 Urana Road","5:15pm to 8:45pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","North Wollongong","Delano Specialty Coffee85 Montague Street","9:20am to 9:31am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","Eureka Street Furniture OrangeOrange Grove Homemakers Centre, Lone Pine Avenue","5:05pm to 5:10pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shortland","The Shortland Hotel269 Sandgate Road","6:55pm to 7:50pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Taree","Pet Barn Taree61 Whitbread Street","9am to 4pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Tenambit","The Regal Inn33 Metford Road","4:45pm to 6pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wallsend","BP Service Station Wallsend103 Newcastle Road","11am to 4pm on Wednesday 13 October 20216am to 2pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wallsend","BP Wallsend103 Newcastle Road","11am to 4pm on Wednesday 13 October 20216am to 2pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wauchope","Spar Express81 High Street","9:45am to 10:45am on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","West Gosford","Anaconda West Gosford28 Central Coast Highway","8:30am to 5:30pm on Thursday 14 October 20218:30am to 5:30pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","West Kempsey","IGA Xpress West Kempsey30 Elbow Street","12:45pm to 1:05pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"16/10/2021","Get tested immediately. Self-isolate until you get a negative result.","West Kempsey","Tumblegum Bakehouse54 Elbow Street","12:54pm to 1:10pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Ballina","Aldi Ballina2 North Creek Road","3:45pm to 4pm on Monday 11 October 20216:30pm to 7pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Ballina","Blooms the Chemist BallinaShop 68 Ballina Fair Shopping Centre, 84 Kerr Street","11am to 11:15am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bellambi","Woonona Petfood and Produce47 Bellambi Lane","10:15am to 10:20am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Brownsville","FoodWorks Brownsville10 Brownsville Avenue","4pm to 4:10pm on Monday 11 October 20211:30pm to 1:40pm on Saturday 9 October 20216pm to 6:15pm on Saturday 9 October 20214:15pm to 4:30pm on Friday 1 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Cessnock","Cessnock Courthouse (indoor public waiting areas)Maitland Road","11:30am to 3:15pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Cessnock","Laverty Pathology Cessnock275 Vincent Street","9:45am to 10am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Charlestown","Charlestown Square Medical CentreCharlestown Square, 30 Pearson Street","9:30am to 10:15am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Corrimal","His and Hers Cafe313 Princes Highway","7:10am to 7:30am on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Corrimal","Service NSW CorrimalCorrimal Park Mall, Shop 8/204 Princes Highway","12pm (noon) to 12:45pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dapto","Woolworths Dapto75-87 Princes Highway","11am to 11:15am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Bunnings DubboSheraton Road","10:55am to 11:30am on Wednesday 13 October 20213:30pm to 5:30pm on Monday 11 October 202111:40am to 12:40pm on Sunday 10 October 20212:15pm to 2:40pm on Sunday 3 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Dubbo RSL Memorial Club178 Brisbane Street","3:30pm to 5:30pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Officeworks Dubbo10 Erskine Street","12:05pm to 12:35pm on Tuesday 12 October 202111:20am to 11:30am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Corrimal","FoodWorks East Corrimal13 Murray Road","10:25am to 10:45am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Maitland","Coles East Maitland1 Molly Morgan Drive","7:45pm to 8:30pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","East Maitland","Green Hills Newsagency1 Molly Morgan Drive","3:05pm to 3:15pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Eden","Australia Post Eden140 Imlay Street","12:45pm to 1:45pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairy Meadow","Fairy Meadow Spice Corner27 Elliotts Road","1pm to 1:05pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Figtree","Liquorland Figtree19 Princes Highway","1:20pm to 1:25pm on Monday 11 October 20212:05pm to 2:10pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Goulburn","Centrelink Goulburn136 Auburn Street","11:30am to 12:15pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Goulburn","Cotton On Goulburn217 Auburn Street","1:10pm to 1:45pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Goulburn","Kmart GoulburnArgyle Mall","12:20pm to 1:40pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Hillvue","BCF Tamworth425/437 Goonoo Goonoo Road","10:40am to 11:05am on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Jesmond","Hotel JesmondCorner of Newcastle Road and Blue Gum Road","7:20pm to 8:45pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kurri Kurri","Priceline Pharmacy Kurri KurriKingsway Plaza, 178 Lang Street","9:10am to 9:20am on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lake Heights","Australia Post Lake Heightsshop 4/22 Weringa Avenue","12:55pm to 1:05pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lismore","Standish Paul and Geard Frederick J4/17 Orion Street","3:55pm to 4:15pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","North Lismore","Liberty78 Terania Street","1:30pm to 1:35pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Nowra","The Friendly Grocer East Nowra100 Kalandar Street","2:30pm to 2:45pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Rutherford","Raymond Whizzer's Hairdressing For Men23 West Mall","5:30am to 5:50am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Rutherford","Rutherford Shopping CentreWest Mall","5:30am to 5:50am on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Rutherford","Woolworths RutherfordCorner of Alexandra Avenue and Hillview Street","6:15pm to 6:45pm on Wednesday 6 October 20215:50pm to 6:30pm on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
